curve_family,bootstrap,omega_action,omega_athlete,omega_action_x_athlete,omega_trial_residual,context_relative_reliability_all_cells_n10,context_relative_reliability_pooled_fixed_actions_n10,context_relative_reliability_athlete_across_actions_n50
racket,1,0.36413080232438233,0.015085179330711185,0.2532894557028932,0.36749456264201336,0.9450889988038738,0.8795589816985859,0.2577558506877616
racket,2,0.28807235127109765,0.021783846099665372,0.3023689085778145,0.38777489405142246,0.9404342015194691,0.893154428330546,0.2964948457651877
racket,3,0.35668233426181817,0.012411469168180133,0.24708262981833182,0.38382356675166984,0.9413614830844254,0.8711467256117725,0.226192286113237
racket,4,0.3209816110209194,0.038797867687944514,0.2878103180146174,0.3524102032765188,0.9483898215375759,0.9026085459347137,0.4411808789172708
racket,5,0.29562633310949393,0.022936509692502192,0.2714659439559015,0.40997121324210234,0.9350310014230419,0.87776632893003,0.3297967751882736
racket,6,0.30951025371269486,0.007741523889885091,0.27728844650565915,0.40545977589176097,0.936156733557102,0.8754638423380128,0.1399716537513785
racket,7,0.3129202930187946,0.012045380107126817,0.2974147273335927,0.3776195995404859,0.9427972476567151,0.891245506838378,0.1915820050849721
racket,8,0.3405670497189547,0.0052199981566336835,0.25284348730394246,0.40136946482046915,0.9371650128813043,0.865402788920944,0.10719017133510626
racket,9,0.2998244308667811,0.010634444817288523,0.2979451850465689,0.3915959392693614,0.9395278075826485,0.887388044696116,0.17264467114297066
racket,10,0.3132660022673449,0.01444913590489926,0.2947015170887414,0.37758334473901445,0.9428055666133847,0.8911578084224923,0.22289564558823735
racket,11,0.31335963842866893,0.02646170702555798,0.2584557160374116,0.4017229385083616,0.9370783390809642,0.8764270545614107,0.3733482727783146
racket,12,0.31725831744665745,0.017196691951239663,0.2846235466182642,0.3809214439838386,0.9420361492465272,0.8879354024534537,0.2609367170134287
racket,13,0.32275140054148566,0.02402560588039508,0.24890401630498526,0.404318977273134,0.9364391188620327,0.8709736353762318,0.3593563012150151
racket,14,0.34805392069972124,0.011874513905140485,0.23117550364333536,0.4088960617518028,0.9353005951785672,0.8559918984221235,0.22938495438621043
racket,15,0.3519378290112349,0.010592630010164094,0.2959983483099185,0.3414711926686825,0.9507026042689706,0.8997848508614319,0.17346788543083874
racket,16,0.32669306533234876,0.031662253052804304,0.25771627538415814,0.38392840623068886,0.9413370099190894,0.8828670096074277,0.417186467578053
racket,17,0.37768334830027683,0.014910937514295968,0.25896516480603726,0.34844054937939,0.9492367759550044,0.8871338520704729,0.2517324860928432
racket,18,0.3038097505525587,0.00695466954091073,0.28119131560302496,0.4080442643035055,0.9355135976114585,0.8759556912086861,0.12603597243162698
racket,19,0.3756537349336162,0.011022066365309138,0.24581650650719608,0.3675076921938786,0.9450860674080801,0.874822536276249,0.2071174230630047
racket,20,0.31686009183918773,0.011185230416835654,0.298607730139267,0.3733469476047096,0.9437720124800544,0.8924467866830649,0.17983357688383958
